City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,ibradi,37.0969,31.5992,9.34,91,16,3.34,TR,1700168749
119,oranjemund,-28.55,16.4333,17.28,85,81,0.6,NA,1700168749
120,pelabuhan klang,3.0,101.4,27.01,84,100,1.95,MY,1700168563
121,punta arenas,-53.15,-70.9167,9.06,81,100,3.6,CL,1700168589
122,talnakh,69.4865,88.3972,-17.06,97,100,2.02,RU,1700168699
123,al ghayzah,16.2079,52.176,26.35,79,94,4.26,YE,1700168715
124,ellsworth,44.5434,-68.4195,10.86,62,0,0.0,US,1700168750
125,san antonio de pale,-1.4014,5.6325,26.97,82,16,5.21,GQ,1700168750
126,beitbridge,-22.2167,30.0,25.85,39,13,3.32,ZW,1700168750
127,bereznik,62.8551,42.7072,-9.31,95,19,2.49,RU,1700168751
128,dalaba,10.7,-12.25,18.5,51,42,0.3,GN,1700168751
129,gardiner,44.2301,-69.7753,10.64,54,9,0.09,US,1700168751
130,mount isa,-20.7333,139.5,27.87,42,4,6.69,AU,1700168480
131,novodvinsk,64.4165,40.8122,-5.68,84,27,2.6,RU,1700168751
132,crane,31.3974,-102.3501,22.61,48,100,3.77,US,1700168751
133,sesheke,-17.4759,24.2968,24.45,35,72,2.28,ZM,1700168752
134,akureyri,65.6835,-18.0878,-5.04,86,0,0.0,IS,1700168752
135,bethel,41.3712,-73.414,16.47,42,0,3.09,US,1700168686
136,central city,37.2939,-87.1233,23.79,52,75,4.63,US,1700168752
137,tazovsky,67.4667,78.7,-19.26,98,51,4.26,RU,1700168652
138,margaret river,-33.95,115.0667,10.75,83,0,4.88,AU,1700168691
139,palmer,42.1584,-72.3287,14.23,50,27,1.15,US,1700168752
140,gaogou,34.0175,119.1886,4.35,49,0,4.83,CN,1700168752
141,bodden town,19.2833,-81.25,29.0,78,20,3.09,KY,1700168753
142,alice springs,-23.7,133.8833,18.75,100,100,7.72,AU,1700168714
143,markaz-e hukumat-e darweshan,31.1323,64.1934,18.65,18,100,3.28,AF,1700168753
144,porto novo,6.4965,2.6036,27.9,81,100,2.46,BJ,1700168711
145,jiuquan,39.7432,98.5174,-0.68,20,0,1.1,CN,1700168753
146,usogorsk,63.4106,48.6872,-11.69,99,100,2.36,RU,1700168753
147,fort-shevchenko,44.5086,50.263,11.12,80,100,6.29,KZ,1700168753
148,mayqayyng,51.4625,75.7986,5.92,57,100,3.17,KZ,1700168754
149,hanzhong,33.0728,107.0303,5.31,59,0,0.71,CN,1700168754
150,west island,-12.1568,96.8225,24.99,73,40,3.6,CC,1700168684
151,kampot,10.6167,104.1833,25.03,95,84,3.49,KH,1700168754
152,petrov val,50.1434,45.2096,4.49,74,92,1.52,RU,1700168754
153,new norfolk,-42.7826,147.0587,12.73,64,61,2.38,AU,1700168756
154,northam,51.0333,-4.2167,8.67,95,67,8.97,GB,1700168756
155,lycksele,64.5954,18.6735,-19.07,84,100,0.0,SE,1700168756
156,susuman,62.7833,148.1667,-33.96,100,88,0.84,RU,1700168756
157,utrik,11.2278,169.8474,28.1,81,6,8.66,MH,1700168757
158,ulundi,-28.3352,31.4162,19.52,89,100,1.93,ZA,1700168551
159,jamestown,42.097,-79.2353,16.8,41,0,3.6,US,1700168487
160,pallipattu,13.3386,79.4449,23.34,92,96,0.73,IN,1700168757
161,port alfred,-33.5906,26.891,20.1,91,100,0.89,ZA,1700168757
162,kolonia town,6.964,158.206,27.0,94,100,0.0,FM,1700168758
163,kiunga,-6.1219,141.2906,24.15,94,89,0.42,PG,1700168758
164,el nido,11.1858,119.3956,27.83,75,98,3.38,PH,1700168758
165,umba,66.6871,34.3429,-6.57,86,98,6.27,RU,1700168758
166,minas de marcona,-15.2119,-75.1103,18.59,66,77,7.82,PE,1700168758
167,kalmunai,7.4167,81.8167,25.75,89,100,4.36,LK,1700168758
168,praia da vitoria,38.7333,-27.0667,21.14,88,75,12.52,PT,1700168759
169,nova sintra,14.8667,-24.7167,23.71,70,100,4.07,CV,1700168759
170,banda aceh,5.5577,95.3222,26.28,85,100,1.92,ID,1700168759
171,bhongir,17.5108,78.8889,20.73,52,89,3.65,IN,1700168759
172,maragogi,-9.0122,-35.2225,26.19,75,72,4.95,BR,1700168759
173,sitka,57.0531,-135.33,6.94,93,100,3.6,US,1700168759
174,manhattan,40.7834,-73.9662,18.79,44,0,4.12,US,1700168696
175,kamba,11.8486,3.6576,30.46,34,69,5.38,NG,1700168760
176,san andres,12.5847,-81.7006,28.01,89,20,2.06,CO,1700168760
177,salinopolis,-0.6136,-47.3561,27.99,74,11,5.86,BR,1700168760
178,queenstown,-31.8976,26.8753,18.09,58,93,2.41,ZA,1700168760
179,port blair,11.6667,92.75,27.44,83,77,4.52,IN,1700168760
180,richards bay,-28.783,32.0377,20.8,86,100,1.79,ZA,1700168680
181,eirunepe,-6.6603,-69.8736,30.59,59,97,2.42,BR,1700168761
182,cabo san lucas,22.8909,-109.9124,33.12,37,20,3.6,MX,1700168604
183,ouadda,8.0777,22.4007,22.69,60,96,0.17,CF,1700168761
184,nkove,-7.95,30.85,24.23,72,95,1.13,TZ,1700168761
185,callao,-12.0667,-77.15,21.16,73,40,4.63,PE,1700168701
186,yuza,39.0,139.9167,15.0,70,100,8.39,JP,1700168573
187,redencao,-4.2258,-38.7306,27.21,59,5,3.36,BR,1700168472
188,woodcrest,33.8822,-117.3573,21.78,73,75,0.0,US,1700168762
189,kirakira,-10.4544,161.9205,26.74,81,18,2.64,SB,1700168676
190,hermanus,-34.4187,19.2345,18.02,84,10,3.61,ZA,1700168685
191,fort bragg,35.139,-79.006,22.68,55,76,0.45,US,1700168762
192,karratha,-20.7377,116.8463,22.13,68,0,5.5,AU,1700168688
193,nago,26.5881,127.9761,20.47,71,100,9.57,JP,1700168763
194,tadine,-21.55,167.8833,23.58,69,94,3.61,NC,1700168763
195,aasiaat,68.7098,-52.8699,-10.6,96,86,2.29,GL,1700168696
196,arraial do cabo,-22.9661,-42.0278,30.98,74,0,6.17,BR,1700168704
197,nadi,-17.8,177.4167,29.0,65,20,1.03,FJ,1700168763
198,rongelap,11.1635,166.8941,27.97,84,42,9.17,MH,1700168681
199,uturoa,-16.7333,-151.4333,25.83,74,98,11.08,PF,1700168710
200,santa cruz de tenerife,28.4682,-16.2546,24.78,39,0,3.6,ES,1700168764
201,alofi,-19.0595,-169.9187,26.94,89,100,4.63,NU,1700168764
202,khorixas,-20.3667,14.9667,24.09,64,64,1.83,NA,1700168764
203,vorgashor,67.5833,63.95,-19.35,100,99,4.02,RU,1700168711
204,chalinze,-6.6378,38.354,22.44,96,62,0.29,TZ,1700168765
205,kone,-21.0595,164.8658,26.22,60,5,1.35,NC,1700168765
206,sulak,43.2734,47.5146,12.85,87,34,3.01,RU,1700168765
207,sittwe,20.15,92.9,23.88,89,100,4.91,MM,1700168765
208,mejit,10.2753,170.8646,28.1,82,82,8.39,MH,1700168766
209,brookings,44.3114,-96.7984,13.54,43,100,8.54,US,1700168766
210,santa cecilia,-26.9608,-50.4269,19.02,99,100,0.48,BR,1700168476
211,conduaga,8.862,117.4893,26.76,85,100,5.04,PH,1700168766
212,xining,36.6167,101.7667,-1.61,29,0,0.99,CN,1700168767
213,timizart,36.8,4.2667,17.1,56,100,1.89,DZ,1700168767
214,ruidoso,33.3317,-105.673,19.47,27,0,11.83,US,1700168767
215,horta,38.5333,-28.6333,21.12,93,75,12.52,PT,1700168767
216,kilindoni,-7.9139,39.6668,26.75,78,76,6.87,TZ,1700168768
217,nemuro,43.3236,145.575,9.81,73,100,11.26,JP,1700168713
218,visakhapatnam,17.69,83.2093,25.18,79,73,1.47,IN,1700168768
219,azemmour,33.2895,-8.3425,18.68,83,0,4.55,MA,1700168768
220,tres arroyos,-38.3739,-60.2798,24.67,22,47,7.38,AR,1700168768
221,saudarkrokur,65.7461,-19.6394,0.4,78,56,3.79,IS,1700168768
222,atimonan,13.9958,121.905,26.6,81,47,8.01,PH,1700168769
223,ust'-ilimsk,58.0006,102.6619,0.8,81,100,5.36,RU,1700168769
224,khorinsk,52.1657,109.7726,-15.24,95,48,0.17,RU,1700168769
